source_name,sample_name,organism,material_type,spaceflight,protocol,preservation_method,Sample Storage Temperature,Unit
RR1_FLT_M25,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_FLT_M26,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_FLT_M28,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_FLT_M29,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR1_FLT_M30,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_BSL_B2,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_BSL_B4,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_BSL_B6,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_BSL_B7,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7,Mus musculus,Liver,Basal Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_GC_G1,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1,Mus musculus,Liver,Ground Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_GC_G2,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2,Mus musculus,Liver,Ground Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_GC_G3,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3,Mus musculus,Liver,Ground Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_GC_G5,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5,Mus musculus,Liver,Ground Control,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_FLT_F1,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_FLT_F2,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_FLT_F3,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
RR3_FLT_F4,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4,Mus musculus,Liver,Space Flight,Animal Husbandry,Liquid Nitrogen,-80,week
