Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Collection Dates]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
8-F3P_S14	8-F3P_S14	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
8P_S18	8P_S18	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C_S10	C_S10	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
CP_S20	CP_S20	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F1_S22	F1_S22	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F2_S23	F2_S23	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F3_S24	F3_S24	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
FGFC2_S21	FGFC2_S21	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
GFC_S11	GFC_S11	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MC_S19	MC_S19	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
1-F1_S1	1-F1_S1	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
1P-F1P_S9	1P-F1P_S9	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2-F2_S2	2-F2_S2	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2a-F2a_S18	2a-F2a_S18	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2aP-F2aP_S19	2aP-F2aP_S19	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2P-F2P_S10	2P-F2P_S10	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
3-F3_S3	3-F3_S3	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
3P-F3P_S11	3P-F3P_S11	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4_S21	4_S21	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4P-F4P_S12	4P-F4P_S12	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5-F5_S4	5-F5_S4	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5P-F5P_S13	5P-F5P_S13	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
6-F6_S5	6-F6_S5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
6P-F6P_S14	6P-F6P_S14	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
7-F7_S6	7-F7_S6	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
7P-F7P_S15	7P-F7P_S15	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
8-F8_S7	8-F8_S7	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
8P-F8P_S16	8P-F8P_S16	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C-FC_S8	C-FC_S8	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
CP-FCP_S17	CP-FCP_S17	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F4_S22	F4_S22	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MC_S20	MC_S20	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	sample collection	04-MAR-2015 and 15-MAY-2015	sterile zip lock bag	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
